window,instrument,n_weeks,years,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,ulcer,upi,best_week,worst_week,pct_pos
RSBT era (2023-02 onward),NTSE,174,3.32,1.902370347421083,0.21405469363132879,0.17860373688383654,0.9471568039675564,0.9174527924733288,1.5031611257148196,-0.14240302650824363,0.05503554422187427,3.162586944350584,0.06943249112783079,-0.09001440643788339,0.603448275862069
RSBT era (2023-02 onward),SPY,174,3.32,1.9215114862962455,0.21772613942908414,0.14270762396199058,1.1664398043268678,1.162064433274456,1.2900637466103675,-0.16877161303164892,0.032938748487514866,5.395655499675393,0.058463977805344625,-0.09066696975241961,0.5919540229885057
RSBT era (2023-02 onward),VTI,174,3.32,1.8829062753959427,0.21029475409655518,0.14567635182641273,1.1038320304318945,1.112984259042792,1.2091363553844705,-0.17392145489636487,0.03488006923916807,4.882294038147297,0.06050622628393776,-0.09128469956574092,0.603448275862069
RSBT era (2023-02 onward),QQQ,174,3.32,2.4840647591688,0.3157857571166722,0.18966655047425923,1.3245988574163088,1.3913266594868794,1.4796744459008606,-0.2134156996435891,0.04341207000964524,6.352743765855867,0.07507037121787796,-0.09866934829415719,0.5919540229885057
RSBT era (2023-02 onward),AOR,174,3.32,1.5126814626288971,0.13295766490699612,0.09003359580320024,0.9844212825908113,0.9815860326605241,1.6460653498433664,-0.08077301725575348,0.02061317578693956,4.509623644013835,0.041273845607030735,-0.048646049030682925,0.5977011494252874
RPAR era (2019-12 onward),TripleEdge 75/25,339,6.48,6.37669289089076,0.3310948569974932,0.30109613934245594,0.9683571577615258,0.8913142555465723,1.2110120234994106,-0.2734034432133401,0.14017177636496925,2.0767009204446496,0.192140176390458,-0.249797919893608,0.6371681415929203
RPAR era (2019-12 onward),NTSX,339,6.48,2.229527521134322,0.13176216900355198,0.1833126048724553,0.549806543871923,0.5315350844289463,0.42678512366405036,-0.3087318692655987,0.11199349110123549,0.8193526972081296,0.10368303074898844,-0.1352060275633986,0.5486725663716814
RPAR era (2019-12 onward),RSST,143,2.72,1.7662941159196015,0.23249304069438215,0.21956958937527574,0.8764254949107196,0.79197006958634,0.8663642920437893,-0.2683548281357735,0.07135841215536154,2.697552185932701,0.06297449355493034,-0.14676397725068802,0.5944055944055944
RPAR era (2019-12 onward),RSBT,173,3.3,1.0575269510091414,0.01711285787756278,0.1210971084554369,-0.12440033165390454,-0.11295023485166746,0.08262837354508551,-0.20710631400998455,0.11426021706808737,-0.20030718223473032,0.032379596975887326,-0.05844161140172943,0.5317919075144508
RPAR era (2019-12 onward),RPAR,338,6.46,1.3411124602912836,0.04649163777475107,0.12990764733389532,0.11073204983898371,0.10518228574574925,0.15786010268399017,-0.29451164027062393,0.14240943398303002,0.04558432396778317,0.10346733773501327,-0.10922773726026491,0.5562130177514792
RPAR era (2019-12 onward),SWAN,339,6.48,1.4356581279621303,0.05741306092326437,0.1132864954329915,0.19997680503570014,0.2020204283698452,0.18520958518515354,-0.3099896847448186,0.14005763277802585,0.1243278254664059,0.05091377482300974,-0.05018911296603934,0.5221238938053098
RPAR era (2019-12 onward),NTSI,263,5.02,1.3452073053777787,0.06083782777946789,0.1556971135449794,0.2025329983573264,0.19095271825357035,0.18330281976959178,-0.33189793728181544,0.12207023280849745,0.17070359661030599,0.0813236013121108,-0.07187232328103088,0.5665399239543726
RPAR era (2019-12 onward),NTSE,263,5.02,1.456829949169583,0.07781362078264076,0.18384941142503278,0.2830831909481873,0.2753877976425515,0.1871287040119655,-0.41582942175276943,0.22853198313324888,0.16546314552651906,0.06943249112783079,-0.09001440643788339,0.5513307984790875
RPAR era (2019-12 onward),SPY,339,6.48,2.6526695631581325,0.1625345347883944,0.19093876562984122,0.6753841912247857,0.6448234899510843,0.5106498084100624,-0.31828962257805415,0.08146878446062482,1.5040673013553716,0.12091597994945369,-0.1454574322432589,0.5693215339233039
