variant,base_label,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,num_trades,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,cagr_delta,calmar_delta
EMA_reentry,R45_UGL_25_S6%,45,UGL,25,0.06,0.10674451251708206,-0.4551781948818731,0.32594500042511826,0.2797882477816387,0.2345114808163958,0.27112744367288283,0.2019143166603662,227,0.11354259831448132,0.09679120982672029,0.3474481465768822,0.2910918061689481,1.1936033210609345,-0.025090374574250535,-0.12241850939650908
ATR_stop_1.5x,R45_UGL_25_S6%,45,UGL,25,0.06,0.11769453326795642,-0.42311291028636394,0.3658632951329246,0.3139631215766742,0.27816341786475024,0.2472402116011508,0.26571136160462117,254,0.11065649434496838,0.1283959665696428,0.3384906436331941,0.4091709849449646,0.8272596447148437,-0.014140353823376167,-0.07876657234815465
ATR_stop_2.0x,R45_UGL_25_S6%,45,UGL,25,0.06,0.11612259889276255,-0.4478737330177827,0.3582027182622584,0.2987900529945199,0.2592753053641392,0.2831653386510352,0.22644932179282506,202,0.11861393484906935,0.11254157405103493,0.3645373362195149,0.3474989378083073,1.049031512207403,-0.01571228819857004,-0.09765468484876572
ATR_stop_2.5x,R45_UGL_25_S6%,45,UGL,25,0.06,0.11970463626744765,-0.46427253865832596,0.36795486874343264,0.3055040610169788,0.25783268726893704,0.28394122961662127,0.23844595009630254,168,0.1165321858575088,0.12458094882801563,0.3549095787766061,0.38806681560972817,0.9145579176074986,-0.012130250823884942,-0.09909730294396785
ATR_stop_3.0x,R45_UGL_25_S6%,45,UGL,25,0.06,0.12463153537174687,-0.5550661939812346,0.3833370545203072,0.31855729105032216,0.2245345451104168,0.3268753054630996,0.222199518158297,140,0.1361687244509815,0.1077881102800311,0.41746443440701125,0.3285502419193652,1.270625862176257,-0.007203351719585721,-0.1323954451024881
ATR_stop_3.5x,R45_UGL_25_S6%,45,UGL,25,0.06,0.10920795376606707,-0.5705948662656593,0.33128899923381316,0.27489479422474505,0.1913931586535195,0.3586591331444464,0.15950508011468129,126,0.10219475220095209,0.11985552595052362,0.306995783858464,0.3686417352938204,0.8327754414832537,-0.022626933325265525,-0.1655368315593854
ATR_stop_4.0x,R45_UGL_25_S6%,45,UGL,25,0.06,0.1268545122173299,-0.5494206054878154,0.3894044325587701,0.32142627417695074,0.23088779516141245,0.3397883716638958,0.22029745117756064,110,0.12811965403763081,0.1251151454943804,0.3909138672857848,0.3862531547953793,1.0120664709984688,-0.004980374874002685,-0.12604219505149244
golden_cross,R45_UGL_25_S6%,45,UGL,25,0.06,0.12850913560795618,-0.38698284315052844,0.41983748098005114,0.3162520522219371,0.3320796719609834,0.17848518941592592,0.42865817527114897,168,0.12365809260275484,0.13592775645393096,0.40387231749417735,0.4417128176091128,0.9143323476104743,-0.00332575148337641,-0.024850318251921466
partial_exit_15pct,R45_UGL_25_S6%,45,UGL,25,0.06,0.1378086895540691,-0.38297562435764587,0.4498333493796674,0.3887459108693939,0.3598367122847876,0.2001691090667494,0.42868097856925025,255,0.14489797082929723,0.12748686786781716,0.467358472636038,0.4210973630112692,1.1098584643084806,0.005973802462736516,0.0029067220718826947
DXY_below_SMA40,R45_UGL_25_S6%,45,UGL,25,0.06,0.1051701647176373,-0.3477321903927691,0.33379882626032686,0.2485272340181657,0.30244586961835745,0.18702669180245104,0.2842918527040988,166,0.13227529042431785,0.06606284201055956,0.43550537478380924,0.1669789166588989,2.608145887504173,-0.0266647223736953,-0.054484120594547436
TIP_above_SMA20,R45_UGL_25_S6%,45,UGL,25,0.06,0.08736588003674517,-0.38383807105158263,0.26005182997422,0.19110820209758,0.22761129399539,0.2033347321691614,0.17392936100716447,176,0.07185685692421506,0.11097047828380346,0.19394656356892961,0.3513199401879268,0.5520511117734577,-0.04446900705458742,-0.12931869621751488
