regime_period,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,upi,num_trades,pct_time_upro,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,total_return,worst_1yr
35,8,0.3,0.1521842813485641,-0.6834232244770418,0.4406290878269248,0.3656198325679182,0.2226794113779439,0.3351552928056888,108,0.6977186311787072,0.107454419270953,0.25456229473555836,0.3217229276690623,0.6925375889916605,0.4645566288141747,72.53792651956125,-0.5081624330080012
35,10,0.1,0.0778156705704316,-0.6342985509673216,0.23376809019080483,0.18154466906629504,0.12267988071509969,0.08250773816186623,178,0.6185044359949303,0.065888722070923,0.09993633324666051,0.1932875362551173,0.32019533162326097,0.6036550729057403,9.64318130206989,-0.4770634402025813
35,10,0.12,0.08001942185320488,-0.6422014289317772,0.24248641579198385,0.19006121403548581,0.12460174993118171,0.09314428597494309,160,0.6362484157160964,0.0712532807254942,0.09475901348659654,0.21278820634925533,0.30542918688027704,0.6966858947657305,10.257639313912522,-0.4864533429087933
35,10,0.15,0.11684394116397412,-0.678306993841361,0.3503370903322693,0.2786181906405901,0.17225819905271536,0.21095199847501575,126,0.6590621039290241,0.10727858342692231,0.13332735656283679,0.3217191617159043,0.41180577055599044,0.7812400522740182,28.275047726192632,-0.5050446010871171
35,10,0.18,0.13484841595585295,-0.6783069938413612,0.3994947847405976,0.3207091496867441,0.19880145300018914,0.2727818366108466,112,0.6730038022813688,0.11362853778526794,0.17883126412256023,0.3396858671878358,0.526513008312839,0.6451613954920637,45.86137853908454,-0.5050446010871175
35,10,0.2,0.13576299170020145,-0.6959510209227214,0.4012214073184792,0.32363673332571746,0.19507549758343787,0.2708769269521394,108,0.6787072243346007,0.11045717544516465,0.1896267414384416,0.3304734019036947,0.5510673098997257,0.5996969806897615,46.99239725121452,-0.5276257714460004
35,10,0.22,0.1556148356222562,-0.6959510209227214,0.45204613281739064,0.3695883618346485,0.22360026919126497,0.3367614287650332,102,0.6812420785804816,0.12738318382059366,0.21652986179061973,0.37694963591621644,0.609743868876141,0.6182098011268192,79.36204714471262,-0.5276257714460004
35,10,0.25,0.14466334238422807,-0.7176255101599168,0.42238237794874667,0.3452227219997943,0.20158612024813757,0.2851402255225984,102,0.6888466413181242,0.11201882680240627,0.21652986179061973,0.33436644077571664,0.6097438688761407,0.5483719604954939,59.50464358224938,-0.5612995241545069
35,10,0.28,0.1513930643343817,-0.7176255101599168,0.43942666602832475,0.3604509218845315,0.2109638832385502,0.3133485981675072,100,0.6913814955640051,0.11201882680240627,0.2401021942410564,0.33436644077571664,0.6604335561767463,0.5062832402268684,71.04650847174429,-0.5612995241545069
35,10,0.3,0.1513930643343817,-0.7176255101599168,0.43942666602832475,0.3604509218845315,0.2109638832385502,0.3133485981675072,100,0.6913814955640051,0.11201882680240627,0.2401021942410564,0.33436644077571664,0.6604335561767463,0.5062832402268684,71.04650847174429,-0.5612995241545069
35,12,0.1,0.06071828410653368,-0.7011780919304204,0.1814734236896314,0.1414462653535896,0.08659466803842883,0.02297240586014244,182,0.6223067173637515,0.039754748024247055,0.10439501856336109,0.11097198104294469,0.3329739816139904,0.3332752322119634,5.94572118486644,-0.5495487731302309
35,12,0.12,0.0628870772899024,-0.7161020301524601,0.19172525604958832,0.15083349855497794,0.08781859936427433,0.03003428384192232,164,0.6400506970849176,0.04498777584098579,0.09919671209807035,0.13260160447555314,0.3179927877311812,0.41699563509487325,6.324579147169782,-0.5576371217357283
35,12,0.15,0.09805997117786602,-0.7447502624453581,0.2969505173295432,0.23648692100524848,0.13166825998273565,0.1275119717336781,130,0.6615969581749049,0.07861836733446759,0.13792139522760816,0.23845819774692964,0.4233661204607915,0.5632434581382938,16.92877318048486,-0.5777082772708937
